Date,Close,High,Low,Open,Volume
2010-01-04,738.9600219726562,740.9099731445312,725.6500244140625,736.6599731445312,15481100
2010-01-11,746.52001953125,753.1699829101562,741.4000244140625,743.0800170898438,15408900
2010-01-18,714.0999755859375,749.6500244140625,705.6900024414062,744.1900024414062,14485400
2010-01-25,696.5499877929688,713.8900146484375,682.1699829101562,706.760009765625,10755800
2010-02-01,691.4099731445312,708.510009765625,685.6900024414062,692.6599731445312,10310400
2010-02-08,698.030029296875,701.6199951171875,679.4500122070312,689.0800170898438,8160000
2010-02-15,700.4400024414062,701.6900024414062,688.280029296875,696.9400024414062,6676800
2010-02-22,721.3699951171875,723.6300048828125,703.6799926757812,706.3400268554688,11725900
2010-03-01,723.9600219726562,737.9400024414062,723.3300170898438,724.5700073242188,13822600
2010-03-08,733.3400268554688,733.3400268554688,716.489990234375,728.3900146484375,12171000
2010-03-15,774.5900268554688,776.4199829101562,727.8099975585938,728.6500244140625,21752300
2010-03-22,778.8599853515625,793.1400146484375,769.0,769.7999877929688,19053000
2010-03-29,801.1500244140625,807.489990234375,769.1400146484375,781.8200073242188,17545700
2010-04-05,789.6599731445312,820.0900268554688,775.2100219726562,796.010009765625,13764300
2010-04-12,736.1599731445312,763.8599853515625,736.1599731445312,755.4099731445312,6270800
2010-04-19,754.5800170898438,770.5499877929688,714.6599731445312,726.760009765625,12526700
2010-04-26,763.510009765625,770.0900268554688,748.8699951171875,763.489990234375,11187400
2010-05-03,768.5499877929688,798.6699829101562,761.02001953125,786.6199951171875,10380300
2010-05-10,768.7899780273438,787.3800048828125,755.489990234375,772.1199951171875,15300000
2010-05-17,765.5399780273438,765.5399780273438,744.5499877929688,744.8499755859375,5176200
2010-05-24,737.280029296875,760.3900146484375,720.469970703125,759.9000244140625,11003000
2010-05-31,771.47998046875,771.530029296875,740.9199829101562,742.489990234375,12994800
2010-06-07,769.5499877929688,774.8599853515625,754.5999755859375,757.030029296875,13298800
2010-06-14,791.8499755859375,793.4500122070312,772.2100219726562,774.0,19706100
2010-06-21,793.6699829101562,808.969970703125,786.510009765625,799.489990234375,20329000
